visit_id,variation,completed
165644307_88045680110_816661,Test,0
795188519_86434632427_489617,Test,0
730618700_3605702880_994644,Control,1
127516514_80380410406_55948,Test,0
803021171_26924620618_285027,Control,1
471831534_39117290104_176351,Control,0
791871816_94123567003_828662,Control,0
405309568_7497588256_699410,Test,1
314406313_13794085085_114283,Control,0
231257175_41969707041_119815,Control,0
822095076_80106766733_575804,Control,0
758844593_92619761695_515985,Control,0
427880442_60523423981_197475,Control,0
572595821_2252902594_669434,Test,1
194635306_61661796895_511926,Test,0
42939764_95718746771_956910,Test,0
316218665_77849022799_969189,Test,1
284868316_59471440230_971412,Test,0
441890963_9672795724_647881,Control,0
869263461_78468132066_249887,Control,1
529326354_25912294779_177476,Control,0
190185535_99372557874_809913,Control,1
326800820_24544885365_259061,Control,0
223054664_56615716276_816895,Test,0
962331620_39361323254_787013,Control,1
37095748_33315946694_816853,Control,1
754988613_84815465932_993029,Test,0
451626749_53563880240_503791,Test,1
104815984_48743056662_416310,Test,1
163259419_28374372365_108441,Test,0
728834223_75736354554_29822,Control,0
254092443_59505279697_931599,Control,0
669857253_34681367640_946375,Control,1
181111520_6555876002_172333,Test,1
507340959_27672361159_806250,Test,1
115546883_13388993526_551290,Control,1
937907759_68249610889_808617,Test,1
690637656_51472694386_220763,Control,0
708028790_51791698894_834881,Control,0
346909943_73002025862_113619,Control,0
197456523_37721430196_663675,Control,0
923479529_95925865750_51747,Test,1
349866196_72634907615_719396,Test,0
361188663_49223353662_507258,Control,1
123811187_90187137862_329111,Control,1
605333493_45263127139_91022,Control,1
720018185_82553226644_984366,Test,1
909635798_2394906338_493320,Test,1
677904679_98279133621_316864,Test,1
64355886_70840535715_682812,Test,0
333008078_19451370410_311058,Test,0
718060170_22973819621_738771,Control,1
100057941_88477660212_944512,Control,0
406849443_17353731015_412673,Control,0
905564991_6296932038_159499,Control,0
119580582_56872490241_991278,Control,0
720189411_52575467080_795018,Control,0
721711015_82523072446_864949,Control,1
137155731_25240542418_709760,Test,0
625305895_56894936479_486340,Test,1
768340939_50480467274_737525,Test,0
91849471_42987956963_436991,Test,0
714595525_29558561866_16925,Test,0
959227771_45613960273_107994,Test,0
345892680_46761493904_581680,Test,0
345596379_34667421648_379932,Test,1
692155131_79434666167_91657,Test,0
989081156_28424560782_986725,Test,0
913310880_23972517382_374860,Test,0
885067601_53807960322_916383,Test,1
956257464_94168167664_435099,Test,1
926410790_84912873719_131306,Control,0
674657047_2139465143_789417,Test,1
86119524_65390645129_559992,Control,0
547295286_38667828873_323941,Test,1
119877378_4564972312_541413,Test,1
920929686_24077986583_64143,Control,1
862487110_24751398529_1517,Test,1
542877327_75127321645_23941,Test,0
432923838_33176527917_159070,Test,0
223517600_43208283992_249355,Test,0
405034070_67313033773_260774,Test,1
996172710_20845497775_744812,Control,0
317940920_31028984587_267215,Control,0
271743730_69261992149_948735,Control,0
976416393_49761783203_381775,Control,0
361616558_71616946851_380762,Control,0
405517838_17925190101_872687,Control,0
415102864_9381892191_739509,Control,1
628455620_53906557415_414309,Control,0
272115089_67097008561_806766,Control,0
417683392_92054249710_252007,Test,1
664598268_29466363528_262443,Control,1
792646082_21774351549_330713,Test,1
875463067_49235560067_703832,Test,1
823134563_24799743781_498468,Test,0
541712706_37076791203_11856,Test,0
692493903_75194869229_377262,Test,0
521395199_41786101566_811489,Control,1
55304725_30656122707_491117,Test,1
630251141_21659825113_730393,Test,1
204006385_420017192_830548,Test,1
552139933_75665383964_774929,Control,0
672255132_60935439785_139826,Test,1
875347502_68124146675_5119,Control,1
772396519_27809737686_157222,Test,0
305828258_4875972899_809472,Test,0
362010248_99017722146_993900,Test,1
173998761_44994047895_850405,Control,0
309120460_48734749846_256657,Test,0
949175907_27474318300_722107,Test,1
380462089_11395191817_585791,Test,0
578050524_41821851177_147575,Control,1
885752584_86723774926_378507,Control,1
961335839_6661940467_487156,Control,1
178615595_60764283001_634320,Control,1
546754075_12659834765_179795,Control,0
585033123_25014018624_995553,Control,0
668685249_94148574404_322047,Control,1
25331354_74479847014_854987,Control,1
994648125_58408610255_188169,Control,0
62259247_10636414751_637437,Test,0
866782635_11316623454_960216,Test,0
193267765_11597583682_869706,Test,0
228177315_76052548085_380998,Test,0
948395152_89327787749_40848,Control,1
805406357_71161484626_473387,Test,1
359828220_83993796461_433597,Test,0
166769221_59080058622_651484,Test,0
829504446_53721149100_662474,Test,0
181464793_50279497856_186723,Test,1
617571074_92948486791_128786,Test,0
977197026_90150162853_173828,Test,0
894279703_46268217940_715373,Control,0
733307054_65957364939_880947,Test,0
433042907_20008576521_210495,Test,1
467037150_24568034275_861606,Test,0
445454448_76025633737_472029,Test,0
642691192_70916564107_539664,Test,1
905972118_6211888532_430210,Test,0
572271494_65281607280_224349,Test,1
94354122_57945965846_375696,Test,0
996014096_73007797530_499786,Control,0
310647649_81170975164_927749,Control,1
464994615_42272321689_879823,Control,0
278531832_4865828282_661054,Control,0
775424570_25735100870_993990,Test,1
988220418_7345211720_104047,Control,1
479112554_67389758976_510409,Test,1
837148109_49927729479_735280,Test,0
155988739_15553711607_982293,Test,0
507337790_15198310110_552374,Control,1
27048035_74737323990_882505,Control,0
828015785_13000428132_161761,Control,1
674169091_53019098372_957342,Test,1
534453703_42461466580_936672,Test,1
804395569_94542615831_203430,Test,1
86231185_47144017351_910338,Test,0
768090128_42839769990_769617,Test,1
533436764_10396599781_125895,Test,1
795339981_29470547899_24967,Test,1
435421390_76930184464_774137,Test,0
510600230_45546174676_918526,Test,0
814748090_58957602018_497305,Test,0
438600764_21874366042_539713,Test,0
834743247_15785650176_979757,Test,1
598916767_46163245225_330344,Test,0
693962942_93357880075_301682,Control,1
170634837_85357180708_848900,Control,0
985167963_55301089853_840406,Control,1
643627799_88821701763_576017,Test,0
181877987_92096774843_786228,Test,0
40236088_24624733040_872870,Test,0
947982499_24654497412_775224,Test,1
944466769_50971057033_41613,Test,1
480958611_36672457751_167073,Test,0
431897635_41133087487_921755,Test,1
397060281_16070793553_843262,Control,1
494715851_57204875205_197410,Control,0
450596455_64437275913_454304,Control,1
803701489_52582987491_906449,Control,0
926960907_30631918010_560225,Control,0
667609001_15182685029_224540,Test,1
922950583_10291383520_30396,Control,1
467872539_76217701420_912510,Control,0
71803878_96561320342_460129,Test,0
827063923_72435407331_576147,Test,1
277248187_18179523868_438999,Control,0
19853779_14927817240_837607,Control,1
160148990_80472564695_418456,Test,1
510351753_10523222203_992683,Test,0
428690793_97618359301_215933,Test,1
524874898_23556565840_231262,Test,1
96961504_25517716123_554808,Test,1
769757525_50235275384_818267,Control,1
357544056_55648882267_602993,Test,1
526839422_86253886964_656574,Test,0
154801551_29701124748_81116,Test,1
762632988_97120149575_881272,Test,1
50695400_28485356713_905617,Control,0
944369624_19801903685_48228,Control,1
723218061_87677449578_323073,Control,0
853889079_11093343056_374331,Control,0
648398501_14644602910_655229,Test,1
867184034_97839993341_608301,Control,1
636537402_59653869291_370182,Test,1
177777742_51475146114_545418,Control,1
898136795_54170227325_973299,Control,1
912446130_84644694112_719007,Control,0
168874038_86881016240_557779,Test,1
308234199_50749586829_901865,Control,0
662193332_95126880172_418385,Control,1
817228745_74180358171_666180,Control,0
225048680_78655804837_807708,Test,0
540907825_82730949939_871029,Control,1
455150011_88105912488_470888,Control,0
330787416_20683736741_449246,Control,1
448081020_90129543639_261544,Control,1
53942995_36359709578_235542,Control,1
555457987_94845018391_688533,Test,1
865593844_78843484682_289131,Test,1
550368051_38486774195_183386,Test,1
798538791_1915417778_6262,Test,0
92566878_20012337106_64971,Test,0
82284766_83034985966_544292,Test,0
825008304_16839780181_740936,Test,0
947046193_2638310882_353960,Test,1
208520988_14235384536_747882,Control,1
750443327_44614118726_967508,Test,1
9568313_44675003079_712559,Test,1
612839362_21515328691_632910,Test,1
61656853_70718216601_674565,Test,0
217240738_31753268443_507780,Test,0
314101105_67282903230_160870,Test,0
991331792_99223863874_100915,Test,1
396200052_68698463329_31529,Test,1
102142817_7580637917_670602,Test,0
293133747_51843665539_350710,Control,0
262154093_46520911631_915887,Test,1
450507298_47820072086_829096,Test,1
734718525_82542035210_117774,Control,0
738402156_62471556090_192207,Control,1
812609777_45938799542_832536,Control,1
723293950_18890824935_801205,Test,0
458109343_91149533325_287914,Test,0
931482904_22430005369_754966,Test,0
620939507_60385811326_415788,Test,1
502892236_26484990146_444087,Test,0
514222462_91392511371_392573,Test,1
800144410_28209303596_552290,Test,0
361764496_58782655026_663988,Test,0
170991407_38587863350_172824,Control,1
265021770_72161936487_490100,Control,0
874073819_4522140636_107987,Control,1
817053475_23692354396_617436,Test,0
793640419_60887187060_680540,Test,0
574253719_89613959324_789011,Test,0
418650002_51677325210_526756,Test,1
408077065_3464063714_783984,Test,0
557246637_80619706310_537331,Test,1
857909291_11558928045_612123,Test,1
700454667_54305428328_165953,Test,1
320709249_6623394266_784575,Control,1
15213235_12953166150_93440,Test,0
477272435_73909270755_961797,Test,1
62031685_74901000203_361687,Control,1
874603321_77250812217_639996,Test,1
25243156_35135900442_619173,Control,1
541647296_54391810927_963826,Control,0
881676370_84446747850_100330,Test,1
387770574_57530593886_796123,Control,1
646294819_29179412888_766384,Test,0
708061210_61022470199_367639,Control,0
943826859_16069591067_847540,Control,0
364196254_1899974228_830727,Test,0
571128556_35317876157_911868,Control,0
103282678_27042361815_851705,Control,1
977935831_703582182_457583,Test,0
644430020_67275230316_42357,Test,0
654444776_54889555718_280968,Test,0
683873564_90844721621_943186,Test,1
510765402_13778302331_163737,Test,1
959627315_30574347694_476033,Control,1
955651388_18757765143_672412,Test,0
946082346_15325986184_937015,Test,0
42236646_5979913488_754493,Control,0
462400024_69386671531_586585,Control,0
869195_38107901538_413317,Control,1
568245641_65747663973_258567,Control,0
103954141_32721167733_76757,Control,0
502316833_62176221508_761047,Test,1
894712487_23700060064_620127,Test,1
811141452_4235095501_778775,Control,1
766891325_55636388228_437192,Test,1
499863196_77818331101_402739,Control,0
255009146_24349044556_832164,Control,1
676854706_20202296668_356316,Control,1
365441252_52579367243_607721,Test,1
977445526_15084488541_68424,Test,0
481619752_1304682246_158459,Test,0
705791345_73615314699_645124,Test,0
620565507_49298727261_876391,Test,1
332250936_30681932284_68808,Test,1
908718994_46478611511_152208,Control,1
82690041_11949104600_202815,Test,0
963777236_68274810397_931010,Test,1
650761561_84426602348_193943,Test,1
282638066_81621323826_511551,Control,1
479119663_23134649815_438657,Test,1
84082492_11403881197_951680,Test,0
109182431_41521070099_847786,Test,0
781005548_66255356230_674283,Control,1
354185570_53840160539_688846,Test,1
710776986_46016624330_819876,Control,0
829873605_73161322579_992530,Control,1
522124502_89436686062_821668,Control,0
963246128_5575319519_370692,Test,1
546284693_79438451381_64115,Test,0
40966021_86904627151_348425,Test,1
62485119_3393283400_391428,Control,0
231273005_71853417403_716422,Control,1
87439715_95050134225_640086,Control,1
783456419_52933831093_975902,Test,0
872829716_31728668178_693702,Test,1
455710230_5443166487_808388,Control,0
706376913_10734857558_811890,Control,0
93586204_43300463810_177312,Control,0
295222264_26098806518_441338,Control,0
39137622_88661580301_884176,Control,0
465910528_1993463692_696321,Control,0
235601086_14114082920_867044,Control,0
923773369_88367145062_444422,Control,0
737729010_35935370998_471474,Test,1
176862788_12555411578_329426,Test,0
22608591_15830983044_167322,Test,1
469920182_52185087390_937891,Test,1
292223374_64177865935_30851,Control,0
575789646_24339803818_59755,Control,0
834714928_72996821837_49482,Control,1
227812077_44664230666_784785,Control,0
209262354_3979756158_777822,Control,1
571263052_25203460692_366580,Test,0
75908159_87722496248_69626,Control,1
275658974_68549420172_24651,Control,1
47027604_10245250543_352077,Test,1
926983602_1011871581_658525,Test,0
751004897_31442846110_475333,Test,0
352066857_51347254074_597682,Test,0
165952735_87139650427_190345,Test,1
726992585_47318866231_953575,Test,0
956846077_44209562451_379475,Test,1
510866231_58600460152_649834,Control,0
313123525_66094192098_624395,Test,0
603682820_39474788388_974921,Control,0
235361947_47568194771_42563,Test,1
323233252_61564289479_377057,Control,0
658868843_759977243_423250,Control,1
262354234_76610482856_66093,Test,1
505203488_56695694677_115958,Test,1
960405087_3223166512_325641,Test,0
341293071_37729525931_363216,Test,1
261552883_28954637369_425914,Test,0
649087629_98665769122_661845,Test,0
602630493_67748376079_376136,Test,0
476011779_24524225800_343850,Test,0
734630050_30984664968_22476,Test,1
91248947_74272437177_904304,Control,0
574039544_57880457383_242279,Test,0
907795652_88889613598_501042,Test,0
478840690_37972773309_595538,Test,1
953979482_64746151535_94504,Test,0
281339511_96239420753_494462,Test,1
977154047_78650029802_177733,Test,1
301784457_12185976409_906037,Control,1
447418593_16604546739_141173,Test,1
525915086_87557683603_262841,Test,0
843377386_40305222779_726213,Test,1
35200027_22573431500_742238,Control,1
762222409_47156141577_933422,Control,0
199234819_77574714907_137919,Control,0
249420196_2337071454_881722,Control,1
604469645_25766937639_923416,Test,1
187056923_85793000956_619370,Control,1
816050781_741406000_738155,Test,1
438856342_13533746486_72008,Test,0
791193487_41771437319_336883,Test,0
517901918_50644693926_888154,Test,1
670163900_69998452411_764632,Test,0
862427694_80553503936_600405,Test,1
705845719_1834053512_611707,Test,0
511105675_237286288_161570,Control,1
673556079_8501484655_738083,Control,1
527852666_95440727168_31663,Control,0
337994747_56751413283_237981,Test,0
666398302_43107315292_392718,Control,0
634070161_16991133832_748314,Control,1
113857132_6367438136_397511,Control,1
704312500_9419666832_89818,Test,1
173004545_31181676921_174796,Test,0
874718350_66325391892_878950,Control,1
25468383_15409992936_692513,Control,0
667579820_40848035036_574361,Test,1
998347950_24625727551_965239,Test,0
304081894_18936718178_181606,Control,0
430743767_69966652776_339695,Control,1
135883424_27218275647_378296,Control,1
785599167_21242604002_592853,Test,1
359149825_22484728940_160805,Test,1
407535143_5128603276_131093,Test,1
360349500_83453147001_500127,Control,0
106405017_42183028634_631400,Test,0
108987942_49132825395_995738,Test,0
499187710_56905841686_867165,Test,1
974527434_27825706383_269082,Control,1
272555970_65821600875_12876,Control,0
235816933_94203864021_87339,Control,0
502427943_95748512914_576278,Test,0
324357947_50395563853_957777,Test,1
718149810_17595258019_871363,Test,0
771546170_41890062586_614022,Control,0
28747727_84617724246_960951,Test,1
26037989_54924831042_531682,Test,1
709937851_1392021710_692912,Test,1
479872111_36007063511_394916,Test,1
241484110_1892864068_272232,Test,0
424902869_58131079182_434007,Test,0
581744736_18711991298_238982,Test,0
534378116_98311459437_464753,Control,1
135480544_42088373409_784281,Test,1
749819470_63300520911_785163,Control,1
260401751_95606419931_933482,Test,1
884921911_87165135557_169158,Test,0
958074432_1664070807_8860,Test,0
794973729_8222875246_600810,Test,1
131804180_78041557069_529440,Test,0
377928773_56528632558_846796,Test,0
988767952_86845885821_751935,Control,0
